aid,katz_centrality_R,sqid,num_bff_noms,nominations,mbff_reciprocity,fbff_reciprocity
57104253,1,104253,0,0,0,0
57104290,1,104290,0,0,0,0
57104304,1,104304,0,0,0,0
57104310,1,104310,0,0,0,0
57104315,1,104315,0,0,0,0
57104373,1,104373,0,0,0,0
57104404,1,104404,0,0,0,0
57104415,1,104415,0,0,0,0
57104426,1,104426,0,0,0,0
57104462,1,104462,0,0,0,0
57104553,1,104553,0,0,0,0
57104634,1,104634,0,0,0,0
57104648,1,104648,0,0,0,0
57104649,1,104649,0,0,0,0
57104676,1,104676,0,0,0,0
57104678,1,104678,0,0,0,0
57104679,1,104679,0,0,0,0
57104680,1,104680,0,0,0,0
57104699,1,104699,0,0,0,0
57104700,1,104700,0,0,0,0
57104703,1,104703,0,0,0,0
57104726,1,104726,0,0,0,0
57104739,1,104739,0,0,0,0
57104750,1,104750,0,0,0,0
57104957,1,104957,0,0,0,0
57104982,1,104982,0,0,0,0
57105028,1,105028,0,0,0,0
57105033,1,105033,0,0,0,0
57105051,1,105051,0,0,0,0
57105069,1,105069,0,0,0,0
57105079,1,105079,0,0,0,0
57105440,1,105440,0,0,0,0
57105496,1,105496,0,0,0,0
57105515,1,105515,0,0,0,0
57105517,1,105517,0,0,0,0
57105528,1,105528,0,0,0,0
57105647,1,105647,0,0,0,0
57105677,1,105677,0,0,0,0
57106020,1,106020,0,0,0,0
57106044,1,106044,0,0,0,0
57106051,1,106051,0,0,0,0
57106121,1,106121,0,0,0,0
57106184,1,106184,0,0,0,0
57106223,1,106223,0,0,0,0
57106284,1,106284,0,0,0,0
57106297,1,106297,0,0,0,0
57106513,1,106513,0,0,0,0
57106676,1,106676,0,0,0,0
57106701,1,106701,0,0,0,0
57106706,1,106706,0,0,0,0
57106785,1,106785,0,0,0,0
57106810,1,106810,0,0,0,0
57106814,1,106814,0,0,0,0
57106863,1,106863,0,0,0,0
57106951,1,106951,0,0,0,0
57107036,1,107036,0,0,0,0
57107040,1,107040,0,0,0,0
57107080,1,107080,0,0,0,0
57107114,1,107114,0,0,0,0
57107123,1,107123,0,0,0,0
57107237,1,107237,0,0,0,0
57107279,1,107279,0,0,0,0
57107314,1,107314,0,0,0,0
57107337,1,107337,0,0,0,0
57107443,1,107443,0,0,0,0
57107480,1,107480,0,0,0,0
57107484,1,107484,0,0,0,0
57107521,1,107521,0,0,0,0
57107571,1,107571,0,0,0,0
57107761,1,107761,0,0,0,0
57107781,1,107781,0,0,0,0
57107838,1,107838,0,0,0,0
57107916,1,107916,0,0,0,0
57108044,1,108044,0,0,0,0
57108250,1,108250,0,0,0,0
57108310,1,108310,0,0,0,0
57108400,1,108400,0,0,0,0
57108423,1,108423,0,0,0,0
57108591,1,108591,0,0,0,0
57108635,1,108635,0,0,0,0
57108650,1,108650,0,0,0,0
57108659,1,108659,0,0,0,0
57109009,1,109009,0,0,0,0
57109025,1,109025,0,0,0,0
57109037,1,109037,0,0,0,0
57109072,1,109072,0,0,0,0
57109081,1,109081,0,0,0,0
57109119,1,109119,0,0,0,0
57109120,1,109120,0,0,0,0
57109129,1,109129,0,0,0,0
57109202,1,109202,0,0,0,0
57109228,1,109228,0,0,0,0
57109274,1,109274,0,0,0,0
57109611,1,109611,0,0,0,0
57109625,1,109625,0,0,0,0
57109644,1,109644,0,0,0,0
57109666,1,109666,0,0,0,0
57109685,1,109685,0,0,0,0
57109828,1,109828,0,0,0,0
57109953,1,109953,0,0,0,0
57109982,1,109982,0,0,0,0
57110089,1,110089,0,0,0,0
57110091,1,110091,0,0,0,0
57110111,1,110111,0,0,0,0
57110125,1,110125,0,0,0,0
57110211,1,110211,0,0,0,0
57110234,1,110234,0,0,0,0
57110255,1,110255,0,0,0,0
57110265,1,110265,0,0,0,0
57110266,1,110266,0,0,0,0
57110390,1,110390,0,0,0,0
57110428,1,110428,0,0,0,0
57110446,1,110446,0,0,0,0
57110465,1,110465,0,0,0,0
57110612,1,110612,0,0,0,0
57110897,1,110897,0,0,0,0
57110915,1,110915,0,0,0,0
57110948,1,110948,0,0,0,0
57111006,1,111006,0,0,0,0
57111007,1,111007,0,0,0,0
57111039,1,111039,0,0,0,0
57111048,1,111048,0,0,0,0
57111056,1,111056,0,0,0,0
57111071,1,111071,0,0,0,0
57111083,1,111083,0,0,0,0
57111097,1,111097,0,0,0,0
57111418,1,111418,0,0,0,0
57111427,1,111427,0,0,0,0
57111428,1,111428,0,0,0,0
57111437,1,111437,0,0,0,0
57111454,1,111454,0,0,0,0
57111471,1,111471,0,0,0,0
57111485,1,111485,0,0,0,0
57111498,1,111498,0,0,0,0
57111523,1,111523,0,0,0,0
57111534,1,111534,0,0,0,0
57111553,1,111553,0,0,0,0
57111576,1,111576,0,0,0,0
57111600,1,111600,0,0,0,0
57111627,1,111627,0,0,0,0
57111634,1,111634,0,0,0,0
57111648,1,111648,0,0,0,0
57111663,1,111663,0,0,0,0
57111687,1,111687,0,0,0,0
57111786,1,111786,0,0,0,0
57111809,1,111809,0,0,0,0
57111827,1,111827,0,0,0,0
57111893,1,111893,0,0,0,0
57111900,1,111900,0,0,0,0
57111902,1,111902,0,0,0,0
57111904,1,111904,0,0,0,0
57111907,1,111907,0,0,0,0
57111908,1,111908,0,0,0,0
57111910,1,111910,0,0,0,0
57111918,1,111918,0,0,0,0
57111919,1,111919,0,0,0,0
57111920,1,111920,0,0,0,0
57111921,1,111921,0,0,0,0
57111924,1,111924,0,0,0,0
57111925,1,111925,0,0,0,0
57111927,1,111927,0,0,0,0
57111929,1,111929,0,0,0,0
57111930,1,111930,0,0,0,0
57111931,1,111931,0,0,0,0
57111934,1,111934,0,0,0,0
57111935,1,111935,0,0,0,0
57111936,1,111936,0,0,0,0
57111937,1,111937,0,0,0,0
57111939,1,111939,0,0,0,0
57111940,1,111940,0,0,0,0
57111944,1,111944,0,0,0,0
57111945,1,111945,0,0,0,0
57111946,1,111946,0,0,0,0
57111947,1,111947,0,0,0,0
57111950,1,111950,0,0,0,0
57111953,1,111953,0,0,0,0
57111956,1,111956,0,0,0,0
57111957,1,111957,0,0,0,0
57111960,1,111960,0,0,0,0
57111961,1,111961,0,0,0,0
57111963,1,111963,0,0,0,0
57111964,1,111964,0,0,0,0
57111966,1,111966,0,0,0,0
57111967,1,111967,0,0,0,0
57111969,1,111969,0,0,0,0
57111971,1,111971,0,0,0,0
57111972,1,111972,0,0,0,0
57111974,1,111974,0,0,0,0
57111979,1,111979,0,0,0,0
57111981,1,111981,0,0,0,0
57111982,1,111982,0,0,0,0
57111986,1,111986,0,0,0,0
57111987,1,111987,0,0,0,0
57112190,1,112190,0,0,0,0
57112213,1,112213,0,0,0,0
57112302,1,112302,0,0,0,0
57112306,1,112306,0,0,0,0
57112323,1,112323,0,0,0,0
57112339,1,112339,0,0,0,0
57112351,1,112351,0,0,0,0
57112352,1,112352,0,0,0,0
57112356,1,112356,0,0,0,0
57112402,1,112402,0,0,0,0
57112425,1,112425,0,0,0,0
57112544,1,112544,0,0,0,0
57112548,1,112548,0,0,0,0
57112558,1,112558,0,0,0,0
57112580,1,112580,0,0,0,0
57112587,1,112587,0,0,0,0
57112594,1,112594,0,0,0,0
57112607,1,112607,0,0,0,0
57112754,1,112754,0,0,0,0
57112762,1,112762,0,0,0,0
57112792,1,112792,0,0,0,0
57112853,1,112853,0,0,0,0
57112860,1,112860,0,0,0,0
57112920,1,112920,0,0,0,0
57113208,1,113208,0,0,0,0
57113249,1,113249,0,0,0,0
57113265,1,113265,0,0,0,0
57113305,1,113305,0,0,0,0
57113316,1,113316,0,0,0,0
57113319,1,113319,0,0,0,0
57113331,1,113331,0,0,0,0
57113348,1,113348,0,0,0,0
57113385,1,113385,0,0,0,0
57113486,1,113486,0,0,0,0
57113562,1,113562,0,0,0,0
57113566,1,113566,0,0,0,0
57113587,1,113587,0,0,0,0
57113635,1,113635,0,0,0,0
57113691,1,113691,0,0,0,0
57113820,1,113820,0,0,0,0
57113893,1,113893,0,0,0,0
57113943,1,113943,0,0,0,0
57113966,1,113966,0,0,0,0
57113988,1,113988,0,0,0,0
57114028,1,114028,0,0,0,0
57114094,1,114094,0,0,0,0
57114100,1,114100,0,0,0,0
57114640,1,114640,0,0,0,0
57114646,1,114646,0,0,0,0
57114732,1,114732,0,0,0,0
57114749,1,114749,0,0,0,0
57114753,1,114753,0,0,0,0
57114755,1,114755,0,0,0,0
57114790,1,114790,0,0,0,0
57114807,1,114807,0,0,0,0
57114815,1,114815,0,0,0,0
57114822,1,114822,0,0,0,0
57114855,1,114855,0,0,0,0
57114964,1,114964,0,0,0,0
57114967,1,114967,0,0,0,0
57115003,1,115003,0,0,0,0
57115044,1,115044,0,0,0,0
57115086,1,115086,0,0,0,0
57115118,1,115118,0,0,0,0
57115131,1,115131,0,0,0,0
57115219,1,115219,0,0,0,0
57115239,1,115239,0,0,0,0
57115244,1,115244,0,0,0,0
57115283,1,115283,0,0,0,0
57115749,1,115749,0,0,0,0
57115783,1,115783,0,0,0,0
57115809,1,115809,0,0,0,0
57115816,1,115816,0,0,0,0
57115832,1,115832,0,0,0,0
57115880,1,115880,0,0,0,0
57116180,1,116180,0,0,0,0
57116336,1,116336,0,0,0,0
57116342,1,116342,0,0,0,0
57116359,1,116359,0,0,0,0
57116365,1,116365,0,0,0,0
57116373,1,116373,0,0,0,0
57116381,1,116381,0,0,0,0
57116457,1,116457,0,0,0,0
57116482,1,116482,0,0,0,0
57116589,1,116589,0,0,0,0
57116622,1,116622,0,0,0,0
57116639,1,116639,0,0,0,0
57116795,1,116795,0,0,0,0
57116903,1,116903,0,0,0,0
57116937,1,116937,0,0,0,0
57116967,1,116967,0,0,0,0
57117008,1,117008,0,0,0,0
57117033,1,117033,0,0,0,0
57117034,1,117034,0,0,0,0
57117338,1,117338,0,0,0,0
57117354,1,117354,0,0,0,0
57117358,1,117358,0,0,0,0
57117367,1,117367,0,0,0,0
57117381,1,117381,0,0,0,0
57117384,1,117384,0,0,0,0
57117394,1,117394,0,0,0,0
57117396,1,117396,0,0,0,0
57117430,1,117430,0,0,0,0
57117446,1,117446,0,0,0,0
57117453,1,117453,0,0,0,0
57117456,1,117456,0,0,0,0
57117488,1,117488,0,0,0,0
57117490,1,117490,0,0,0,0
57117501,1,117501,0,0,0,0
57117508,1,117508,0,0,0,0
57117595,1,117595,0,0,0,0
57117768,1,117768,0,0,0,0
57117802,1,117802,0,0,0,0
57117825,1,117825,0,0,0,0
57117838,1,117838,0,0,0,0
57117839,1,117839,0,0,0,0
57117851,1,117851,0,0,0,0
57117992,1,117992,0,0,0,0
57117996,1,117996,0,0,0,0
57117997,1,117997,0,0,0,0
57118022,1,118022,0,0,0,0
57118078,1,118078,0,0,0,0
57118111,1,118111,0,0,0,0
57118121,1,118121,0,0,0,0
57118127,1,118127,0,0,0,0
57118150,1,118150,0,0,0,0
57118202,1,118202,0,0,0,0
57118227,1,118227,0,0,0,0
57118286,1,118286,0,0,0,0
57118310,1,118310,0,0,0,0
57118328,1,118328,0,0,0,0
57118330,1,118330,0,0,0,0
57118332,1,118332,0,0,0,0
57118333,1,118333,0,0,0,0
57118336,1,118336,0,0,0,0
57118338,1,118338,0,0,0,0
57118344,1,118344,0,0,0,0
57118348,1,118348,0,0,0,0
57118358,1,118358,0,0,0,0
57118367,1,118367,0,0,0,0
57118369,1,118369,0,0,0,0
57118376,1,118376,0,0,0,0
57118381,1,118381,0,0,0,0
57118394,1,118394,0,0,0,0
57118395,1,118395,0,0,0,0
57118397,1,118397,0,0,0,0
57118409,1,118409,0,0,0,0
57118436,1,118436,0,0,0,0
57118464,1,118464,0,0,0,0
57118505,1,118505,0,0,0,0
57118508,1,118508,0,0,0,0
57118653,1,118653,0,0,0,0
57118854,1,118854,0,0,0,0
57118856,1,118856,0,0,0,0
57118872,1,118872,0,0,0,0
57118898,1,118898,0,0,0,0
57118912,1,118912,0,0,0,0
57118914,1,118914,0,0,0,0
57118925,1,118925,0,0,0,0
57118940,1,118940,0,0,0,0
57118941,1,118941,0,0,0,0
57118942,1,118942,0,0,0,0
57118943,1,118943,0,0,0,0
57118950,1,118950,0,0,0,0
57118962,1,118962,0,0,0,0
57118972,1,118972,0,0,0,0
57118997,1,118997,0,0,0,0
57119027,1,119027,0,0,0,0
57119035,1,119035,0,0,0,0
57119039,1,119039,0,0,0,0
57119043,1,119043,0,0,0,0
57119045,1,119045,0,0,0,0
57119050,1,119050,0,0,0,0
57119060,1,119060,0,0,0,0
57119073,1,119073,0,0,0,0
57119074,1,119074,0,0,0,0
57119075,1,119075,0,0,0,0
57119088,1,119088,0,0,0,0
57119099,1,119099,0,0,0,0
57119104,1,119104,0,0,0,0
57119128,1,119128,0,0,0,0
57119135,1,119135,0,0,0,0
57119144,1,119144,0,0,0,0
57119271,1,119271,0,0,0,0
57119292,1,119292,0,0,0,0
57119346,1,119346,0,0,0,0
57119390,1,119390,0,0,0,0
57119434,1,119434,0,0,0,0
57119447,1,119447,0,0,0,0
57119452,1,119452,0,0,0,0
57119457,1,119457,0,0,0,0
57119494,1,119494,0,0,0,0
57119550,1,119550,0,0,0,0
57119976,1,119976,0,0,0,0
57119980,1,119980,0,0,0,0
57120005,1,120005,0,0,0,0
57120046,1,120046,0,0,0,0
57120070,1,120070,0,0,0,0
57120143,1,120143,0,0,0,0
57120147,1,120147,0,0,0,0
57120164,1,120164,0,0,0,0
57120173,1,120173,0,0,0,0
57120185,1,120185,0,0,0,0
57120187,1,120187,0,0,0,0
57120188,1,120188,0,0,0,0
57120201,1,120201,0,0,0,0
57120222,1,120222,0,0,0,0
57120227,1,120227,0,0,0,0
57120228,1,120228,0,0,0,0
57120229,1,120229,0,0,0,0
57120230,1,120230,0,0,0,0
57120234,1,120234,0,0,0,0
57120237,1,120237,0,0,0,0
57120250,1,120250,0,0,0,0
57120251,1,120251,0,0,0,0
57120264,1,120264,0,0,0,0
57120270,1,120270,0,0,0,0
57120273,1,120273,0,0,0,0
57120275,1,120275,0,0,0,0
57120282,1,120282,0,0,0,0
57120283,1,120283,0,0,0,0
57120290,1,120290,0,0,0,0
57120304,1,120304,0,0,0,0
57120316,1,120316,0,0,0,0
57120319,1,120319,0,0,0,0
57120325,1,120325,0,0,0,0
57120328,1,120328,0,0,0,0
57120330,1,120330,0,0,0,0
57120345,1,120345,0,0,0,0
57120347,1,120347,0,0,0,0
57120363,1,120363,0,0,0,0
57120365,1,120365,0,0,0,0
57120370,1,120370,0,0,0,0
57120371,1,120371,0,0,0,0
57120373,1,120373,0,0,0,0
57120377,1,120377,0,0,0,0
57120385,1,120385,0,0,0,0
57120387,1,120387,0,0,0,0
57120389,1,120389,0,0,0,0
57120394,1,120394,0,0,0,0
57120396,1,120396,0,0,0,0
57120419,1,120419,0,0,0,0
57120427,1,120427,0,0,0,0
57120449,1,120449,0,0,0,0
57120486,1,120486,0,0,0,0
57120492,1,120492,0,0,0,0
57120508,1,120508,0,0,0,0
57120522,1,120522,0,0,0,0
57120526,1,120526,0,0,0,0
57120583,1,120583,0,0,0,0
57120630,1,120630,0,0,0,0
57120635,1,120635,0,0,0,0
57120662,1,120662,0,0,0,0
57120676,1,120676,0,0,0,0
57120677,1,120677,0,0,0,0
57121242,1,121242,0,0,0,0
57121347,1,121347,0,0,0,0
57121356,1,121356,0,0,0,0
57121403,1,121403,0,0,0,0
57121404,1,121404,0,0,0,0
57121407,1,121407,0,0,0,0
57121414,1,121414,0,0,0,0
57121417,1,121417,0,0,0,0
57121431,1,121431,0,0,0,0
57121437,1,121437,0,0,0,0
57121447,1,121447,0,0,0,0
57121456,1,121456,0,0,0,0
57121476,1,121476,0,0,0,0
57121515,1,121515,0,0,0,0
57121526,1,121526,0,0,0,0
57121591,1,121591,0,0,0,0
57121661,1,121661,0,0,0,0
57121743,1,121743,0,0,0,0
57121752,1,121752,0,0,0,0
57121802,1,121802,0,0,0,0
57121810,1,121810,0,0,0,0
57121870,1,121870,0,0,0,0
57121888,1,121888,0,0,0,0
57121895,1,121895,0,0,0,0
57121978,1,121978,0,0,0,0
57121989,1,121989,0,0,0,0
57121991,1,121991,0,0,0,0
57122006,1,122006,0,0,0,0
57122071,1,122071,0,0,0,0
57122100,1,122100,0,0,0,0
57122112,1,122112,0,0,0,0
57122116,1,122116,0,0,0,0
57122176,1,122176,0,0,0,0
57122258,1,122258,0,0,0,0
57122282,1,122282,0,0,0,0
57122305,1,122305,0,0,0,0
57122326,1,122326,0,0,0,0
57122336,1,122336,0,0,0,0
57122386,1,122386,0,0,0,0
57122409,1,122409,0,0,0,0
57122454,1,122454,0,0,0,0
57122486,1,122486,0,0,0,0
57122488,1,122488,0,0,0,0
57122597,1,122597,0,0,0,0
57122642,1,122642,0,0,0,0
57122703,1,122703,0,0,0,0
57122722,1,122722,0,0,0,0
57122781,1,122781,0,0,0,0
57122859,1,122859,0,0,0,0
57122915,1,122915,0,0,0,0
57122917,1,122917,0,0,0,0
57122927,1,122927,0,0,0,0
57122931,1,122931,0,0,0,0
57122940,1,122940,0,0,0,0
57122998,1,122998,0,0,0,0
57123013,1,123013,0,0,0,0
57123022,1,123022,0,0,0,0
57123044,1,123044,0,0,0,0
57123087,1,123087,0,0,0,0
57123458,1,123458,0,0,0,0
57123494,1,123494,0,0,0,0
57123512,1,123512,0,0,0,0
57123568,1,123568,0,0,0,0
57123582,1,123582,0,0,0,0
57123606,1,123606,0,0,0,0
57123655,1,123655,0,0,0,0
57123901,1,123901,0,0,0,0
57123980,1,123980,0,0,0,0
57124035,1,124035,0,0,0,0
57124040,1,124040,0,0,0,0
57124043,1,124043,0,0,0,0
57124053,1,124053,0,0,0,0
57124060,1,124060,0,0,0,0
57124083,1,124083,0,0,0,0
57124106,1,124106,0,0,0,0
57124107,1,124107,0,0,0,0
57124158,1,124158,0,0,0,0
57124176,1,124176,0,0,0,0
57124256,1,124256,0,0,0,0
57124266,1,124266,0,0,0,0
57124517,1,124517,0,0,0,0
57124553,1,124553,0,0,0,0
57124563,1,124563,0,0,0,0
57124638,1,124638,0,0,0,0
57124700,1,124700,0,0,0,0
57124763,1,124763,0,0,0,0
57124766,1,124766,0,0,0,0
57124798,1,124798,0,0,0,0
57124811,1,124811,0,0,0,0
57124859,1,124859,0,0,0,0
57125258,1,125258,0,0,0,0
57125429,1,125429,0,0,0,0
57125435,1,125435,0,0,0,0
57125451,1,125451,0,0,0,0
57125458,1,125458,0,0,0,0
57125491,1,125491,0,0,0,0
57125512,1,125512,0,0,0,0
57125659,1,125659,0,0,0,0
57125661,1,125661,0,0,0,0
57125662,1,125662,0,0,0,0
57125665,1,125665,0,0,0,0
57125666,1,125666,0,0,0,0
57125667,1,125667,0,0,0,0
57125668,1,125668,0,0,0,0
57125671,1,125671,0,0,0,0
57125676,1,125676,0,0,0,0
57125677,1,125677,0,0,0,0
57125684,1,125684,0,0,0,0
57125686,1,125686,0,0,0,0
57125691,1,125691,0,0,0,0
57125692,1,125692,0,0,0,0
57125693,1,125693,0,0,0,0
57125704,1,125704,0,0,0,0
57125706,1,125706,0,0,0,0
57125708,1,125708,0,0,0,0
57125713,1,125713,0,0,0,0
57125714,1,125714,0,0,0,0
57125716,1,125716,0,0,0,0
57125717,1,125717,0,0,0,0
57125721,1,125721,0,0,0,0
57125724,1,125724,0,0,0,0
57125726,1,125726,0,0,0,0
57125729,1,125729,0,0,0,0
57125782,1,125782,0,0,0,0
57125840,1,125840,0,0,0,0
57125907,1,125907,0,0,0,0
57125944,1,125944,0,0,0,0
57126025,1,126025,0,0,0,0
57126069,1,126069,0,0,0,0
57126088,1,126088,0,0,0,0
57126455,1,126455,0,0,0,0
57126515,1,126515,0,0,0,0
57126607,1,126607,0,0,0,0
57126630,1,126630,0,0,0,0
57126642,1,126642,0,0,0,0
57126661,1,126661,0,0,0,0
57126679,1,126679,0,0,0,0
57126684,1,126684,0,0,0,0
57126760,1,126760,0,0,0,0
57126834,1,126834,0,0,0,0
57126836,1,126836,0,0,0,0
57126931,1,126931,0,0,0,0
57126993,1,126993,0,0,0,0
57127016,1,127016,0,0,0,0
57127050,1,127050,0,0,0,0
57127176,1,127176,0,0,0,0
57127194,1,127194,0,0,0,0
57127241,1,127241,0,0,0,0
57127349,1,127349,0,0,0,0
57127491,1,127491,0,0,0,0
57127608,1,127608,0,0,0,0
57127645,1,127645,0,0,0,0
57127653,1,127653,0,0,0,0
57127739,1,127739,0,0,0,0
57127783,1,127783,0,0,0,0
57127830,1,127830,0,0,0,0
57127858,1,127858,0,0,0,0
57127882,1,127882,0,0,0,0
57127887,1,127887,0,0,0,0
57127904,1,127904,0,0,0,0
57127907,1,127907,0,0,0,0
57127923,1,127923,0,0,0,0
57127953,1,127953,0,0,0,0
57127954,1,127954,0,0,0,0
57127955,1,127955,0,0,0,0
57127958,1,127958,0,0,0,0
57127961,1,127961,0,0,0,0
57127972,1,127972,0,0,0,0
57127973,1,127973,0,0,0,0
57127974,1,127974,0,0,0,0
57127986,1,127986,0,0,0,0
57127988,1,127988,0,0,0,0
57127989,1,127989,0,0,0,0
57127990,1,127990,0,0,0,0
57127994,1,127994,0,0,0,0
57128005,1,128005,0,0,0,0
57128007,1,128007,0,0,0,0
57128008,1,128008,0,0,0,0
57128033,1,128033,0,0,0,0
57128053,1,128053,0,0,0,0
57128054,1,128054,0,0,0,0
57128063,1,128063,0,0,0,0
57128099,1,128099,0,0,0,0
57128116,1,128116,0,0,0,0
57128117,1,128117,0,0,0,0
57128124,1,128124,0,0,0,0
57128132,1,128132,0,0,0,0
57128146,1,128146,0,0,0,0
57128147,1,128147,0,0,0,0
57128149,1,128149,0,0,0,0
57128154,1,128154,0,0,0,0
57128161,1,128161,0,0,0,0
57128168,1,128168,0,0,0,0
57128171,1,128171,0,0,0,0
57128174,1,128174,0,0,0,0
57128175,1,128175,0,0,0,0
57128176,1,128176,0,0,0,0
57128178,1,128178,0,0,0,0
57128192,1,128192,0,0,0,0
57128196,1,128196,0,0,0,0
57128197,1,128197,0,0,0,0
57128198,1,128198,0,0,0,0
57128271,1,128271,0,0,0,0
57128284,1,128284,0,0,0,0
57128311,1,128311,0,0,0,0
57128324,1,128324,0,0,0,0
57128363,1,128363,0,0,0,0
57128625,1,128625,0,0,0,0
57128640,1,128640,0,0,0,0
57128685,1,128685,0,0,0,0
57128697,1,128697,0,0,0,0
57128712,1,128712,0,0,0,0
57128723,1,128723,0,0,0,0
57128731,1,128731,0,0,0,0
57128734,1,128734,0,0,0,0
57128815,1,128815,0,0,0,0
57128850,1,128850,0,0,0,0
57128880,1,128880,0,0,0,0
57128881,1,128881,0,0,0,0
57128955,1,128955,0,0,0,0
57128974,1,128974,0,0,0,0
57128981,1,128981,0,0,0,0
57129002,1,129002,0,0,0,0
57129015,1,129015,0,0,0,0
57129054,1,129054,0,0,0,0
57129072,1,129072,0,0,0,0
57129096,1,129096,0,0,0,0
57129418,1,129418,0,0,0,0
57129535,1,129535,0,0,0,0
57129547,1,129547,0,0,0,0
57129567,1,129567,0,0,0,0
57129683,1,129683,0,0,0,0
57129684,1,129684,0,0,0,0
57129701,1,129701,0,0,0,0
57129712,1,129712,0,0,0,0
57129815,1,129815,0,0,0,0
57129997,1,129997,0,0,0,0
57130011,1,130011,0,0,0,0
57130034,1,130034,0,0,0,0
57130055,1,130055,0,0,0,0
57130090,1,130090,0,0,0,0
57130102,1,130102,0,0,0,0
57130165,1,130165,0,0,0,0
57130205,1,130205,0,0,0,0
57130218,1,130218,0,0,0,0
57130225,1,130225,0,0,0,0
57130226,1,130226,0,0,0,0
57130233,1,130233,0,0,0,0
57130264,1,130264,0,0,0,0
57130609,1,130609,0,0,0,0
57130629,1,130629,0,0,0,0
57130633,1,130633,0,0,0,0
57130636,1,130636,0,0,0,0
57130655,1,130655,0,0,0,0
57130657,1,130657,0,0,0,0
57130691,1,130691,0,0,0,0
57130775,1,130775,0,0,0,0
57130794,1,130794,0,0,0,0
57130838,1,130838,0,0,0,0
57130863,1,130863,0,0,0,0
57130878,1,130878,0,0,0,0
57130891,1,130891,0,0,0,0
57130892,1,130892,0,0,0,0
57131272,1,131272,0,0,0,0
57131275,1,131275,0,0,0,0
57131314,1,131314,0,0,0,0
57131317,1,131317,0,0,0,0
57131356,1,131356,0,0,0,0
57131432,1,131432,0,0,0,0
57131459,1,131459,0,0,0,0
57131463,1,131463,0,0,0,0
57131472,1,131472,0,0,0,0
57131479,1,131479,0,0,0,0
57131485,1,131485,0,0,0,0
57131843,1,131843,0,0,0,0
57131861,1,131861,0,0,0,0
57131878,1,131878,0,0,0,0
57131882,1,131882,0,0,0,0
